"VARIABLE1_LABEL","VARIABLE2_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"atc_n05cd07","atc_a10bh01",0.745244509522911,0.523636807352878,1.06063854025404,8459,0.102,0.18035205724508
"atc_a10ae04","atc_c03ea02",2.6128682846865,0.646645532068866,10.5576862972796,680,0.178,0.284776950469408
"atc_a02bc03","atc_c07fb02",1.1953111242965,0.529880842970174,2.69639618571263,5584,0.667,0.772513241153035
"atc_a10ae04","atc_c07fb02",0.394189414250277,0.0979350116795546,1.5866163861337,3054,0.19,0.300666026256804
"atc_c07ab02","atc_c07fb02",3.1568028162481,1.96791246976789,5.06394678308396,13999,1.86e-06,1.10882026537998e-05
"atc_c03ea02","atc_g03fa01",0.0564967785089047,8.48474526609582e-12,376191138.541152,2153,0.803,0.870459749945164
"atc_a10ae04","atc_n05cd07",1.08995021986769,0.916106123932287,1.29678369214507,20658,0.331,0.462221531506075
"atc_a10ae04","atc_a10bh01",0.486548319721284,0.388980728706087,0.608588677930306,18900,2.81e-10,2.57644155844156e-09
"atc_c03ea02","atc_a10bh01",5.4601330673388,1.34755073560243,22.1238817399469,419,0.0174,0.0414813314037627
"atc_c03ea02","atc_c07fb02",1.29349899956422,0.181695517132116,9.2084806949697,5701,0.797,0.866426308842939
"atc_n05cd07","atc_c07fb02",1.27781175672832,0.712638640786985,2.29120734153564,12135,0.411,0.546599031216362
"atc_c08ca05","atc_g03fa01",7.63135762859918,1.03781531575805,56.1155904825325,2897,0.0459,0.0936185720181593
"atc_n05cd07","atc_g03fa01",5.37056529015433,2.05484500837861,14.0365679251737,8131,0.000605,0.00226508333333333
"atc_c08ca05","atc_c07fb02",0.0345086545669934,1.32132105929734e-11,90125502.1741162,317,0.761,0.839853059401519
"atc_a10ae04","atc_c08ca05",1.68085520691985,1.06201013252582,2.66030816477249,4925,0.0266,0.05983486572599
"atc_a10ae04","atc_g03fa01",0.0124715831558612,3.99856237665452e-13,388990771.587504,694,0.722,0.812229455952652
"atc_a10bh01","atc_c07fb02",2.25608941491881,0.834796769868607,6.09721986455435,1399,0.109,0.189742162733357
"atc_c07ab02","atc_a10bh01",1.32473600698397,1.07080776660215,1.63888005198964,26327,0.0096,0.0246714508580343
